Balance Sheet (SAR MM),2018,2019,2020,2021,2022,Sep-23,2023,2024,2025,2026,2027
Assets,,,,,,,,,,,
Cash,38.1,36.6,33.2,42.3,40.1,34.3,30.8,30.6,35.2,41.3,46.9
Accounts Receivable,19.6,16.7,16.9,26.3,23.9,19.5,18.9,19.7,21.4,22.5,22.9
Inventories,24.5,22.6,19.3,28.6,28.2,19.1,21.7,22.3,23.7,24.8,25.4
Short-Term Investments,9.8,5.6,5.9,5.1,8.7,10.5,7.0,6.9,7.5,8.0,8.8
Other Current Assets,5.1,6.0,6.1,6.0,5.9,5.7,5.5,5.8,6.1,6.1,6.4
Assets held for Sale,-,-,-,-,-,15.3,-,-,-,-,-
PP&E,136.1,136.4,136.2,131.0,126.8,116.2,122.8,117.6,110.1,101.9,95.1
ROU Assets,-,6.4,5.6,6.4,6.3,5.7,7.8,8.8,10.0,11.1,12.7
Intangible Assets,21.0,20.5,20.7,19.9,20.0,19.6,19.4,18.4,17.5,16.5,15.5
Investments in Associates & JVS,43.5,38.8,40.6,42.2,41.7,41.7,41.7,41.7,41.7,41.7,41.7
Investments in Debt & Equity Instruments,3.6,2.4,1.8,1.0,0.7,0.6,1.7,1.4,1.2,1.1,1.1
Deferred Tax Assets,0.9,0.7,1.0,0.6,0.8,1.2,0.8,0.9,0.9,0.9,1.0
Derivative Financial Instruments,-,-,1.9,2.4,2.7,4.0,1.6,2.4,2.6,2.5,2.8
Other Assets,6.4,7.7,6.3,7.6,7.3,6.0,6.5,6.8,7.0,7.2,7.4
Total Assets,308.5,300.5,295.5,319.4,313.1,299.3,286.1,283.3,284.8,285.6,287.7
,,,,,,,,,,,
Liabilities,,,,,,,,,,,
LOC,1.2,1.3,4.3,0.0,0.9,0.9,-,-,-,-,-
Current Portion of Debt,2.5,5.7,2.6,5.3,6.0,7.0,3.6,3.3,2.9,2.5,2.2
Current Portion of Lease Liabilities,0.1,1.2,1.1,1.0,0.9,0.9,1.2,1.3,1.5,1.7,1.9
Trade Payable,19.2,15.3,17.5,26.1,22.5,21.5,22.2,22.7,24.7,25.5,25.2
Other Liabilities,11.6,10.8,9.1,15.2,14.9,14.2,11.6,12.1,13.1,14.1,14.5
Income Tax Payable,3.4,3.3,2.9,3.6,3.0,2.9,3.0,3.1,3.2,3.3,3.3
Liabilities directly associated with assets held for Sale,-,-,-,-,-,6.7,-,-,-,-,-
Debt,36.9,30.9,33.4,26.8,21.5,20.0,23.3,20.9,18.6,16.3,13.9
Lease Liabilities,0.6,5.3,4.6,5.5,5.5,5.1,6.6,7.5,8.5,9.4,10.8
Employee Benefits,13.2,15.8,19.7,17.4,14.1,11.2,14.6,15.6,16.4,15.7,16.1
Deferred Tax Liabilities,0.8,0.7,0.7,0.7,0.9,0.8,0.7,0.7,0.8,0.8,0.9
Derivative Financial Instruments,-,-,2.7,3.3,2.9,2.8,1.6,2.4,2.6,2.5,2.8
Provisions & Other Liabilities,3.8,3.5,2.7,2.5,2.4,2.6,2.8,2.8,2.8,2.8,3.0
Total Liabilities,55.4,56.1,63.7,56.3,47.3,42.5,49.7,49.9,49.7,47.5,47.4
,,,,,,,,,,,
Equity,,,,,,,,,,,
Share Capital,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0
